Domain,Host IP,Root Domain,State,Open Ports
google.com,google.com,{'173.194.219.113'},up,"80, 443"
mossery.co,mossery.co,{'23.227.38.32'},up,"80, 443, 2052, 2053, 2082, 2083, 2086, 2087, 2095, 2096, 8080, 8443, 8880"
